anime_id,name,genre,type,episodes,rating,members
2236,Clockers (1995),"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
2685,Congo (1995),"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963
31181,Crimson Tide (1995),"Comedy, Mystery, Supernatural",TV,12,8.43,107855
45,Crumb (1994),"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
2418,Desperado (1995),"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503
1365,Devil in a Blue Dress (1995),"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462
22297,Die Hard: With a Vengeance (1995),"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484
627,"Doom Generation, The (1995)","Comedy, Drama, Shounen, Sports",TV,26,8.42,41061
10937,First Knight (1995),"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
23755,Free Willy 2: The Adventure Home (1995),"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627
4081,Hackers (1995),"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736
4155,Jeffrey (1995),"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020
1889,Johnny Mnemonic (1995),"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
137,Judge Dredd (1995),"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168
139,Jury Duty (1995),"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787
23317,Kids (1995),"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261
558,Living in Oblivion (1995),"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689
5040,Lord of Illusions (1995),"Psychological, Seinen, Sports",TV,25,8.41,83056
57,Love & Human Remains (1993),"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328
33,Mad Love (1995),"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
5,Mallrats (1995),"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
1842,Mighty Morphin Power Rangers: The Movie (1995),"Drama, Shounen, Sports",TV,26,8.4,29528
6336,Mute Witness (1994),"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
20651,Nadja (1994),"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302
1210,"Net, The (1995)","Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
338,Nine Months (1995),"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188
13759,Party Girl (1995),"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375
6547,"Prophecy, The (1995)","Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796
5081,Reckless (1995),"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268
32867,Safe (1995),"Mystery, Seinen, Supernatural",TV,12,8.39,83641
264,"Scarlet Letter, The (1995)","Comedy, Shounen, Sports",Special,1,8.39,47840
12859,Showgirls (1995),"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051
853,Smoke (1995),"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271
5460,Something to Talk About (1995),"Action, Mystery, Police, Shounen",Movie,1,8.38,21798
6746,Species (1995),"Action, Mystery, Supernatural",TV,24,8.38,556431
5690,Strange Days (1995),"Comedy, Josei, Music, Romance",TV,11,8.38,67697
329,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
34240,Three Wishes (1995),"Music, Sci-Fi",Music,1,8.38,71136
513,Total Eclipse (1995),"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
6945,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
1142,Under Siege 2: Dark Territory (1995),"Drama, Josei, Romance",TV,12,8.37,61493
6811,Unstrung Heroes (1995),"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128
16664,Unzipped (1995),"Fantasy, Historical",Movie,1,8.37,45547
1604,"Walk in the Clouds, A (1995)","Action, Comedy, Shounen, Super Power",TV,203,8.37,258103
22145,Waterworld (1995),"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895
2966,White Man's Burden (1995),"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932
31964,Wild Bill (1995),"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002
19363,"Browning Version, The (1994)","Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032
18195,Bushwhacked (1995),"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820
9890,Burnt by the Sun (Utomlyonnye solntsem) (1994),"Comedy, Drama, Sports",OVA,1,8.36,12282
9130,Before the Rain (Pred dozhdot) (1994),"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532
9863,Before Sunrise (1995),"Comedy, School, Shounen",TV,77,8.36,101027
7674,Billy Madison (1995),"Comedy, Romance, Shounen",TV,25,8.35,246899
11843,"Babysitter, The (1995)","Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914
16782,Boys on the Side (1995),"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
28675,"Cure, The (1995)","Fantasy, Slice of Life, Supernatural",Movie,1,8.35,59815
3226,Castle Freak (1995),"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002
21557,Circle of Friends (1995),"Drama, Mystery, Psychological",Movie,1,8.35,53590
31715,Clerks (1994),"Comedy, Romance, Slice of Life",Special,1,8.34,31856
43,Don Juan DeMarco (1995),"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
9617,Disclosure (1994),"Comedy, Music, Slice of Life",Movie,1,8.34,115252
31051,Drop Zone (1994),"Action, School, Shounen, Sports",Special,1,8.34,22900
10153,Destiny Turns on the Radio (1995),"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315
1033,Death and the Maiden (1994),"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492
32188,Dolores Claiborne (1995),"Sci-Fi, Thriller",Special,1,8.34,38147
3091,Dumb & Dumber (Dumb and Dumber) (1994),"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941
12115,Eat Drink Man Woman (Yin shi nan nu) (1994),"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,65594
28223,Exotica (1994),"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
121,Exit to Eden (1994),"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384
3002,Ed Wood (1994),"Game, Psychological, Seinen, Thriller",TV,26,8.33,98996
138,French Kiss (1995),"Action, Adventure, Shounen, Super Power",OVA,8,8.33,57029
6675,Forget Paris (1995),"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
10800,Far From Home: The Adventures of Yellow Dog (1995),"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561
32005,"Goofy Movie, A (1995)","Action, Mystery, Police, Shounen",Movie,1,8.32,6229
813,Hideaway (1995),"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662
27821,Fluke (1995),"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382
28725,Farinelli: il castrato (1994),"Drama, Romance, School",Movie,1,8.32,59652
585,Gordy (1995),"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,94435
16067,Hoop Dreams (1994),"Drama, Fantasy, Romance",TV,26,8.32,224947
30,Heavenly Creatures (1994),"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
31490,Houseguest (1994),"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,18642
759,Immortal Beloved (1994),"Comedy, Drama",Movie,1,8.32,89424
6,Heavyweights (Heavy Weights) (1995),"Action, Comedy, Sci-Fi",TV,26,8.32,283069
6864,"Hunted, The (1995)","Mystery, Supernatural",OVA,2,8.32,36353
9735,I.Q. (1994),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
11977,Interview with the Vampire: The Vampire Chronicles (1994),"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164
11123,Jefferson in Paris (1995),"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253
23847,"Jerky Boys, The (1995)","Comedy, Drama, Romance, School",TV,13,8.31,222994
33161,Junior (1994),"Comedy, Romance, School",OVA,1,8.31,35120
962,Just Cause (1995),"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596
1519,"Kid in King Arthur's Court, A (1995)","Action, Seinen",TV,12,8.3,203233
2167,Kiss of Death (1995),"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690
16706,Star Wars: Episode IV - A New Hope (1977),"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612
5681,Little Women (1994),"Comedy, Sci-Fi",Movie,1,8.3,223359
3901,"Little Princess, A (1995)","Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412
6467,Ladybird Ladybird (1994),"Action, Mystery, Police, Shounen",Movie,1,8.29,20602
10271,Like Water for Chocolate (Como agua para chocolate) (1992),"Game, Psychological, Seinen, Thriller",TV,26,8.29,55566
22507,Legends of the Fall (1994),"Cars, Seinen, Sports",TV,4,8.29,19702
3701,Major Payne (1995),"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,56927
19123,My Crazy Life (Mi vida loca) (1993),"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29,17247
33255,Love Affair (1994),"Comedy, School, Shounen, Supernatural",TV,120,8.29,47092
372,Losing Isaiah (1995),"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28,60637
265,"Madness of King George, The (1994)","Comedy, Shounen, Sports",OVA,1,8.28,40623
25681,Mary Shelley's Frankenstein (Frankenstein) (1994),"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,91796
4722,Man of the House (1995),"Comedy, Drama, Romance, Shoujo",TV,25,8.28,134818
24277,Mixed Nuts (1994),"Comedy, Drama, Shounen, Sports",TV,24,8.28,50778
239,Milk Money (1994),"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
512,Miracle on 34th Street (1994),"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331
4477,Miami Rhapsody (1995),"Comedy, Josei, Music, Romance, Slice of Life",TV,11,8.27,70822
15323,My Family (1995),"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27,24707
31174,Murder in the First (1995),"Comedy, Parody",TV,25,8.27,60988
23327,Nobody's Fool (1994),"Comedy, Sci-Fi, Space",TV,13,8.27,60918
5365,Nell (1994),Drama,Movie,1,8.27,45189
3702,New Jersey Drive (1995),"Comedy, Music",OVA,12,8.26,104893
3167,New York Cop (Nyû Yôku no koppu) (1993),"Sci-Fi, Slice of Life",ONA,6,8.26,99074
7465,Beyond Bedlam (1993),"Sci-Fi, Slice of Life",Movie,1,8.26,66376
7054,Nina Takes a Lover (1994),"Comedy, Romance, School, Shoujo",TV,26,8.26,391628
1257,Natural Born Killers (1994),"Adventure, Sci-Fi, Shounen",OVA,13,8.26,23701
23283,Only You (1994),"Psychological, Thriller",TV,11,8.26,342893
2025,Once Were Warriors (1994),"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
235,Poison Ivy II (1996),"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,8.25,114702
1364,Outbreak (1995),"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25,25432
18689,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Comedy, School, Shounen, Sports",TV,75,8.25,81384
22043,"Perez Family, The (1995)","Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,255076
31988,"Pyromaniac's Love Story, A (1995)","Drama, Music, School",TV,13,8.25,47716
20899,Pulp Fiction (1994),"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25,120089
1453,Pushing Hands (Tui shou) (1992),"Comedy, Drama, Romance, Slice of Life",TV,96,8.25,22079
23623,Priest (1994),"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230
1559,Quiz Show (1994),"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112
1382,Picture Bride (Bijo photo) (1994),"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25,5001
23289,"Queen Margot (Reine Margot, La) (1994)","Comedy, Romance, School",TV,12,8.24,292622
18,"Quick and the Dead, The (1995)","Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584
4814,Roommates (1995),"Comedy, Drama, Romance, Shounen Ai",TV,12,8.24,87617
16662,Ready to Wear (Pret-A-Porter) (1994),"Drama, Historical, Romance",Movie,1,8.24,75359
12031,Three Colors: Red (Trois couleurs: Rouge) (1994),"Action, Historical, Military, Seinen",TV,38,8.24,54211
8129,Three Colors: Blue (Trois couleurs: Bleu) (1993),"Comedy, Josei, Slice of Life",TV,11,8.24,108053
14513,Three Colors: White (Trzy kolory: Bialy) (1994),"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513
2581,Rent-a-Kid (1995),"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351
30015,Relative Fear (1994),"Romance, School, Slice of Life",TV,13,8.24,202249
6171,Stuart Saves His Family (1995),"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.24,40355
1827,"Swan Princess, The (1994)","Action, Adventure, Fantasy, Historical",TV,26,8.24,106888
25013,"Secret of Roan Inish, The (1994)","Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23,216674
1367,"Specialist, The (1994)","Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.23,23130
27833,Stargate (1994),"Action, Mystery, Supernatural",TV,12,8.23,115295
26213,"Santa Clause, The (1994)","Comedy, School, Slice of Life",Special,1,8.23,36091
1974,"Shawshank Redemption, The (1994)","Drama, Shoujo",TV,51,8.23,17038
